Year,State,Species,,Total catch PSE (proportional standard error),Total effort by number of directed trips,Total effort PSE,CPUE (which is catch/effort)
1997,New Jersey,SUMMER FLOUNDER,6980522,13.2,1627773,9,4.2884
1998,New Jersey,SUMMER FLOUNDER,6064410,13.6,1661560,9,3.6498
1995,Massachusetts,BLUEFISH,1053698,16.1,1411943,8.9,0.7463
2000,New Jersey,SUMMER FLOUNDER,9089615,14.5,2587977,8.8,3.5122
2003,New Jersey,SUMMER FLOUNDER,4506498,12.2,1653247,8.8,2.7258
2012,NORTH CAROLINA,FLORIDA POMPANO,1547653,15.8,784668,8.8,1.9724
1981,New Jersey,ATLANTIC MACKEREL,2046768,39,91713,8.7,22.3171
2005,North Carolina,BLUEFISH,5888649,12.5,1955029,8.6,3.0121
1991,New Jersey,SUMMER FLOUNDER,3919736,12,1274718,8.6,3.075
2003,New York,SUMMER FLOUNDER,5408874,14.8,1651090,8.6,3.2759
1997,Massachusetts,BLUEFISH,1321478,15.2,948937,8.5,1.3926
1989,North Carolina,BLUEFISH,6334618,14.3,2785521,8.5,2.2741
2003,Rhode Island,BLUEFISH,1196515,13.8,613884,8.5,1.9491
2002,New Jersey,SUMMER FLOUNDER,4808931,12.5,1553929,8.5,3.0947
1991,North Carolina,SUMMER FLOUNDER,1325133,15.8,843540,8.4,1.5709
2012,North Carolina,BLACK SEA BASS,2497597,13.1,"338,579",8.4,7.3767
2006,North Carolina,BLUEFISH,6577618,13.7,1984079,8.3,3.3152
1990,New York,BLUEFISH,1696170,16.7,649713,8.2,2.6106
2000,North Carolina,BLUEFISH,6362568,21.7,1609346,8.2,3.9535
1981,North Carolina,BLUEFISH,9177910,11.5,1416940,8.1,6.4773
1999,North Carolina,YELLOWFIN TUNA,195979,15.6,100951,8.1,1.9413
2001,New Jersey,SUMMER FLOUNDER,5650136,10.5,1537868,8,3.674
2004,North Carolina,BLUEFISH,5481428,10.9,1735180,7.9,3.159
1993,Massachusetts,BLUEFISH,886685,12.8,1611338,7.8,0.5503
1983,Connecticut,SUMMER FLOUNDER,9284,35.7,13351,7.8,0.6954
2013,SOUTH CAROLINA,FLORIDA POMPANO,2315303,10.2,302455,7.7,7.655
2003,North Carolina,BLUEFISH,4588368,12.8,1298774,7.6,3.5328
2001,North Carolina,BLUEFISH,8156171,13.9,1813691,7.5,4.497
1998,North Carolina,YELLOWFIN TUNA,104398,18.3,57984,7.4,1.8005
2008,North Carolina,BLUEFISH,6445137,11.3,2280025,7.2,2.8268
1991,North Carolina,BLUEFISH,3359399,19.7,2018651,7.1,1.6642
1999,North Carolina,BLUEFISH,3914919,11.9,1223316,7,3.2003
2014,North Carolina,BLUEFISH,9316377,12.4,2522568,7,3.6932
2019,Massachussets,YELLOWFIN TUNA,368,44.4,368,6.7,1
1998,North Carolina,BLUEFISH,2421769,12.4,975817,6.6,2.4818
1984,Rhode Island,YELLOWFIN TUNA,1839,39.8,2049,6.5,0.8975
1993,North Carolina,BLUEFISH,2642925,11.8,1674702,6.4,1.5781
2002,North Carolina,BLUEFISH,5593563,11.4,1657828,6.4,3.374
1997,North Carolina,BLUEFISH,2855078,9.9,1251069,6,2.2821
1995,North Carolina,BLUEFISH,2732886,15.4,1013436,5.9,2.6967
1982,New Hampshire,ATLANTIC MACKEREL,214565,28.2,"36,335",5.8,5.9052
1996,North Carolina,BLUEFISH,1797745,14,948462,5.8,1.8954
2010,North Carolina,BLUEFISH,9598582,11.9,2449970,5.6,3.9178
2015,South Carolina,BLUEFISH,3107268,17.3,907559,5.6,3.4238
1982,Virginia,BLACK SEA BASS,5530202,24,"949,640",5.6,5.8235
2012,North Carolina,BLUEFISH,4442106,9.7,1806458,5.5,2.459
1982,Georgia,Black Sea Bass,1065515,10.5,"62,270",5.5,17.1112
1994,North Carolina,BLUEFISH,3478836,15,1357192,5.4,2.5633
1996,Georgia,BLUEFISH,92283,13.4,19235,5.1,4.7977
1988,New Jersey,ATLANTIC MACKEREL,4318,467,17358,4.6,0.2488
1994,Virginia,COBIA,4276,91.8,"9,815",4,0.4357
1987,Maryland,ATLANTIC MACKEREL,910091,11,145386,2.9,6.2598
1988,Maryland,ATLANTIC MACKEREL,2058655,62,56581,1.6,36.3842
1988,Connecticut,YELLOWFIN TUNA,12941,42.7,12941,1.2,1
1982,Maryland,BLACK SEA BASS,3053574,34,"140,797",0.3,21.6878
2016,Delaware,ATLANTIC MACKEREL,5,10.3,5,0,1
1983,North Carolina,ATLANTIC MACKEREL,30365,387,10122,0,2.9999
1983,Virginia,ATLANTIC MACKEREL,1719543,48.7,26705,0,64.3903
1987,Virginia,ATLANTIC MACKEREL,85831,52.7,9952,0,8.6245
1991,Virginia,ATLANTIC MACKEREL,42981,68.1,2094,0,20.5258
1982,Connecticut ,ATLANTIC MACKEREL,1144,99.6,"475,120",0,0.0024
2006,Connecticut ,ATLANTIC MACKEREL,8,2.6,8,0,1
1996,New York,ATLANTIC MACKEREL,91,87.5,9,0,10.1111
1989,New Hampshire,SUMMER FLOUNDER,3687,45.7,1229,0,3
1991,New Hampshire,SUMMER FLOUNDER,1433,78.4,1433,0,1
2013,South Carolina,SUMMER FLOUNDER,1935,30.8,1935,0,1
1983,SOUTH CAROLINA,FLORIDA POMPANO,13529,65,13529,0,1
1996,GEORGIA,FLORIDA POMPANO,13762,13.6,2294,0,5.9991
1997,GEORGIA,FLORIDA POMPANO,1589,31,821,0,1.9354
1981,Delaware,ATLANTIC MACKEREL,,,,,
1982,Delaware,ATLANTIC MACKEREL,,,,,
1987,Delaware,ATLANTIC MACKEREL,,,,,
1993,Delaware,ATLANTIC MACKEREL,,,,,
1999,Delaware,ATLANTIC MACKEREL,,,,,
2005,Delaware,ATLANTIC MACKEREL,,,,,
2007,Delaware,ATLANTIC MACKEREL,,,,,
2008,Delaware,ATLANTIC MACKEREL,,,,,
2010,Delaware,ATLANTIC MACKEREL,,,,,
2011,Delaware,ATLANTIC MACKEREL,,,,,
2014,Delaware,ATLANTIC MACKEREL,,,,,
2015,Delaware,ATLANTIC MACKEREL,,,,,
2018,Delaware,ATLANTIC MACKEREL,,,,,
2019,Delaware,ATLANTIC MACKEREL,,,,,
2020,Delaware,ATLANTIC MACKEREL,,,,,
2021,Delaware,ATLANTIC MACKEREL,,,,,
2022,Delaware,ATLANTIC MACKEREL,,,,,
1981,Maryland,ATLANTIC MACKEREL,,,,,
1982,Maryland,ATLANTIC MACKEREL,,,,,
1985,Maryland,ATLANTIC MACKEREL,,,,,
1993,Maryland,ATLANTIC MACKEREL,,,,,
2004,Maryland,ATLANTIC MACKEREL,,,,,
2005,Maryland,ATLANTIC MACKEREL,,,,,
2006,Maryland,ATLANTIC MACKEREL,,,,,
2007,Maryland,ATLANTIC MACKEREL,,,,,
2008,Maryland,ATLANTIC MACKEREL,,,,,
2009,Maryland,ATLANTIC MACKEREL,,,,,
2010,Maryland,ATLANTIC MACKEREL,,,,,
2015,Maryland,ATLANTIC MACKEREL,,,,,
2018,Maryland,ATLANTIC MACKEREL,,,,,
2019,Maryland,ATLANTIC MACKEREL,,,,,
2020,Maryland,ATLANTIC MACKEREL,,,,,
2021,Maryland,ATLANTIC MACKEREL,,,,,
2022,Maryland,ATLANTIC MACKEREL,,,,,
2006,New Jersey,ATLANTIC MACKEREL,,,,,
2007,New Jersey,ATLANTIC MACKEREL,,,,,
2008,New Jersey,ATLANTIC MACKEREL,,,,,
2009,New Jersey,ATLANTIC MACKEREL,,,,,
2011,New Jersey,ATLANTIC MACKEREL,,,,,
2012,New Jersey,ATLANTIC MACKEREL,,,,,
1981,North Carolina,ATLANTIC MACKEREL,,,,,
1982,North Carolina,ATLANTIC MACKEREL,,,,,
1984,North Carolina,ATLANTIC MACKEREL,,,,,
1986,North Carolina,ATLANTIC MACKEREL,,,,,
1987,North Carolina,ATLANTIC MACKEREL,,,,,
1988,North Carolina,ATLANTIC MACKEREL,,,,,
1989,North Carolina,ATLANTIC MACKEREL,,,,,
1990,North Carolina,ATLANTIC MACKEREL,,,,,
1991,North Carolina,ATLANTIC MACKEREL,,,,,
1992,North Carolina,ATLANTIC MACKEREL,,,,,
1993,North Carolina,ATLANTIC MACKEREL,,,,,
1994,North Carolina,ATLANTIC MACKEREL,,,,,
1995,North Carolina,ATLANTIC MACKEREL,,,,,
1997,North Carolina,ATLANTIC MACKEREL,,,,,
2000,North Carolina,ATLANTIC MACKEREL,,,,,
2001,North Carolina,ATLANTIC MACKEREL,,,,,
2002,North Carolina,ATLANTIC MACKEREL,,,,,
2004,North Carolina,ATLANTIC MACKEREL,,,,,
2006,North Carolina,ATLANTIC MACKEREL,,,,,
2007,North Carolina,ATLANTIC MACKEREL,,,,,
2008,North Carolina,ATLANTIC MACKEREL,,,,,
2009,North Carolina,ATLANTIC MACKEREL,,,,,
2010,North Carolina,ATLANTIC MACKEREL,,,,,
2013,North Carolina,ATLANTIC MACKEREL,,,,,
2016,North Carolina,ATLANTIC MACKEREL,,,,,
2017,North Carolina,ATLANTIC MACKEREL,,,,,
2018,North Carolina,ATLANTIC MACKEREL,,,,,
2019,North Carolina,ATLANTIC MACKEREL,,,,,
2020,North Carolina,ATLANTIC MACKEREL,,,,,
2021,North Carolina,ATLANTIC MACKEREL,,,,,
1981,Virginia,ATLANTIC MACKEREL,,,,,
1982,Virginia,ATLANTIC MACKEREL,,,,,
1984,Virginia,ATLANTIC MACKEREL,7150,,26705,,0.2677
1988,Virginia,ATLANTIC MACKEREL,,,,,
1993,Virginia,ATLANTIC MACKEREL,,,,,
2005,Virginia,ATLANTIC MACKEREL,,,,,
2006,Virginia,ATLANTIC MACKEREL,,,,,
2007,Virginia,ATLANTIC MACKEREL,,,,,
2008,Virginia,ATLANTIC MACKEREL,,,,,
2009,Virginia,ATLANTIC MACKEREL,,,,,
2010,Virginia,ATLANTIC MACKEREL,,,,,
2012,Virginia,ATLANTIC MACKEREL,,,,,
2013,Virginia,ATLANTIC MACKEREL,,,,,
2014,Virginia,ATLANTIC MACKEREL,,,,,
2015,Virginia,ATLANTIC MACKEREL,,,,,
2016,Virginia,ATLANTIC MACKEREL,,,,,
2018,Virginia,ATLANTIC MACKEREL,,,,,
2019,Virginia,ATLANTIC MACKEREL,,,,,
2020,Virginia,ATLANTIC MACKEREL,,,,,
2021,Virginia,ATLANTIC MACKEREL,,,,,
2022,Virginia,ATLANTIC MACKEREL,,,,,
1981,Connecticut ,ATLANTIC MACKEREL,,,,,
1983,Connecticut ,ATLANTIC MACKEREL,,,,,
1984,Connecticut ,ATLANTIC MACKEREL,,,,,
1988,Connecticut ,ATLANTIC MACKEREL,,,,,
1989,Connecticut ,ATLANTIC MACKEREL,,,,,
1990,Connecticut ,ATLANTIC MACKEREL,,,,,
1991,Connecticut ,ATLANTIC MACKEREL,,,,,
1992,Connecticut ,ATLANTIC MACKEREL,,,,,
1993,Connecticut ,ATLANTIC MACKEREL,,,,,
1994,Connecticut ,ATLANTIC MACKEREL,,,,,
1995,Connecticut ,ATLANTIC MACKEREL,,,,,
1996,Connecticut ,ATLANTIC MACKEREL,,,,,
1997,Connecticut ,ATLANTIC MACKEREL,,,,,
1998,Connecticut ,ATLANTIC MACKEREL,,,,,
1999,Connecticut ,ATLANTIC MACKEREL,,,,,
2000,Connecticut ,ATLANTIC MACKEREL,,,,,
2001,Connecticut ,ATLANTIC MACKEREL,,,,,
2002,Connecticut ,ATLANTIC MACKEREL,,,,,
2003,Connecticut ,ATLANTIC MACKEREL,,,,,
2004,Connecticut ,ATLANTIC MACKEREL,,,,,
2005,Connecticut ,ATLANTIC MACKEREL,,,,,
2007,Connecticut ,ATLANTIC MACKEREL,,,,,
2008,Connecticut ,ATLANTIC MACKEREL,,,,,
2009,Connecticut ,ATLANTIC MACKEREL,,,,,
2010,Connecticut ,ATLANTIC MACKEREL,,,,,
2011,Connecticut ,ATLANTIC MACKEREL,,,,,
2012,Connecticut ,ATLANTIC MACKEREL,,,,,
2014,Connecticut ,ATLANTIC MACKEREL,,,,,
2015,Connecticut ,ATLANTIC MACKEREL,,,,,
2019,Connecticut ,ATLANTIC MACKEREL,,,,,
2022,Connecticut ,ATLANTIC MACKEREL,,,,,
1982,New York,ATLANTIC MACKEREL,,,,,
1988,New York,ATLANTIC MACKEREL,,,,,
2002,New York,ATLANTIC MACKEREL,,,,,
2004,New York,ATLANTIC MACKEREL,,,,,
2006,New York,ATLANTIC MACKEREL,,,,,
2010,New York,ATLANTIC MACKEREL,,,,,
2011,New York,ATLANTIC MACKEREL,,,,,
2012,New York,ATLANTIC MACKEREL,,,,,
2013,New York,ATLANTIC MACKEREL,,,,,
2016,New York,ATLANTIC MACKEREL,,,,,
2005,Rhode Island,ATLANTIC MACKEREL,,,,,
2007,Rhode Island,ATLANTIC MACKEREL,,,,,
2009,Rhode Island,ATLANTIC MACKEREL,,,,,
2011,Rhode Island,ATLANTIC MACKEREL,,,,,
2013,Rhode Island,ATLANTIC MACKEREL,,,,,
2014,Rhode Island,ATLANTIC MACKEREL,,,,,
2015,Rhode Island,ATLANTIC MACKEREL,,,,,
2016,Rhode Island,ATLANTIC MACKEREL,,,,,
1994,Connecticut,BLUEFISH,,,,,
1995,Connecticut,BLUEFISH,,,,,
1997,Connecticut,BLUEFISH,,,,,
2001,Connecticut,BLUEFISH,,,,,
2004,Connecticut,BLUEFISH,,,,,
2005,Connecticut,BLUEFISH,,,,,
2006,Connecticut,BLUEFISH,,,,,
2007,Connecticut,BLUEFISH,,,,,
2008,Connecticut,BLUEFISH,,,,,
2009,Connecticut,BLUEFISH,,,,,
2010,Connecticut,BLUEFISH,,,,,
2011,Connecticut,BLUEFISH,,,,,
2012,Connecticut,BLUEFISH,,,,,
1981,Maine,BLUEFISH,,,,,
2000,Maine,BLUEFISH,,,,,
2018,Maine,BLUEFISH,,,,,
2019,Maine,BLUEFISH,,,,,
2020,Maine,BLUEFISH,,,,,
1985,New Hampshire,BLUEFISH,,,,,
2017,New Hampshire,BLUEFISH,,,,,
2018,New Hampshire,BLUEFISH,,,,,
2019,New Hampshire,BLUEFISH,,,,,
1981,Connecticut,COBIA,,,,,
1982,Connecticut,COBIA,,,,,
1983,Connecticut,COBIA,,,,,
1984,Connecticut,COBIA,,,,,
1985,Connecticut,COBIA,,,,,
1986,Connecticut,COBIA,,,,,
1987,Connecticut,COBIA,,,,,
1988,Connecticut,COBIA,,,,,
1989,Connecticut,COBIA,,,,,
1990,Connecticut,COBIA,,,,,
1991,Connecticut,COBIA,,,,,
1992,Connecticut,COBIA,,,,,
1993,Connecticut,COBIA,,,,,
1994,Connecticut,COBIA,,,,,
1995,Connecticut,COBIA,,,,,
1996,Connecticut,COBIA,,,,,
1997,Connecticut,COBIA,,,,,
1998,Connecticut,COBIA,,,,,
1999,Connecticut,COBIA,,,,,
2000,Connecticut,COBIA,,,,,
2001,Connecticut,COBIA,,,,,
2002,Connecticut,COBIA,,,,,
2003,Connecticut,COBIA,,,,,
2004,Connecticut,COBIA,,,,,
2005,Connecticut,COBIA,,,,,
2006,Connecticut,COBIA,,,,,
2007,Connecticut,COBIA,,,,,
2008,Connecticut,COBIA,,,,,
2009,Connecticut,COBIA,,,,,
2010,Connecticut,COBIA,,,,,
2011,Connecticut,COBIA,,,,,
2012,Connecticut,COBIA,,,,,
2013,Connecticut,COBIA,,,,,
2014,Connecticut,COBIA,,,,,
2015,Connecticut,COBIA,,,,,
2016,Connecticut,COBIA,,,,,
2017,Connecticut,COBIA,,,,,
2018,Connecticut,COBIA,,,,,
2019,Connecticut,COBIA,,,,,
2020,Connecticut,COBIA,,,,,
2021,Connecticut,COBIA,,,,,
2022,Connecticut,COBIA,,,,,
1981,Delaware,COBIA,,,,,
1982,Delaware,COBIA,,,,,
1983,Delaware,COBIA,,,,,
1984,Delaware,COBIA,,,,,
1985,Delaware,COBIA,,,,,
1986,Delaware,COBIA,,,,,
1987,Delaware,COBIA,,,,,
1988,Delaware,COBIA,,,,,
1989,Delaware,COBIA,,,,,
1990,Delaware,COBIA,,,,,
1991,Delaware,COBIA,,,,,
1992,Delaware,COBIA,,,,,
1993,Delaware,COBIA,,,,,
1995,Delaware,COBIA,,,,,
1996,Delaware,COBIA,,,,,
1997,Delaware,COBIA,,,,,
1998,Delaware,COBIA,,,,,
1999,Delaware,COBIA,,,,,
2000,Delaware,COBIA,,,,,
2001,Delaware,COBIA,,,,,
2002,Delaware,COBIA,,,,,
2003,Delaware,COBIA,,,,,
2004,Delaware,COBIA,,,,,
2005,Delaware,COBIA,,,,,
2006,Delaware,COBIA,,,,,
2007,Delaware,COBIA,,,,,
2008,Delaware,COBIA,,,,,
2009,Delaware,COBIA,,,,,
2010,Delaware,COBIA,,,,,
2011,Delaware,COBIA,,,,,
2012,Delaware,COBIA,,,,,
2013,Delaware,COBIA,,,,,
2014,Delaware,COBIA,,,,,
2015,Delaware,COBIA,,,,,
2016,Delaware,COBIA,,,,,
2017,Delaware,COBIA,,,,,
2018,Delaware,COBIA,,,,,
2022,Delaware,COBIA,,,,,
1981,Georgia,COBIA,,,,,
1991,Georgia,COBIA,,,,,
1993,Georgia,COBIA,,,,,
1994,Georgia,COBIA,,,,,
1995,Georgia,COBIA,,,,,
1998,Georgia,COBIA,,,,,
1981,Maine,COBIA,,,,,
1982,Maine,COBIA,,,,,
1983,Maine,COBIA,,,,,
1984,Maine,COBIA,,,,,
1985,Maine,COBIA,,,,,
1986,Maine,COBIA,,,,,
1987,Maine,COBIA,,,,,
1988,Maine,COBIA,,,,,
1989,Maine,COBIA,,,,,
1990,Maine,COBIA,,,,,
1991,Maine,COBIA,,,,,
1992,Maine,COBIA,,,,,
1993,Maine,COBIA,,,,,
1994,Maine,COBIA,,,,,
1995,Maine,COBIA,,,,,
1996,Maine,COBIA,,,,,
1997,Maine,COBIA,,,,,
1998,Maine,COBIA,,,,,
1999,Maine,COBIA,,,,,
2000,Maine,COBIA,,,,,
2001,Maine,COBIA,,,,,
2002,Maine,COBIA,,,,,
2003,Maine,COBIA,,,,,
2004,Maine,COBIA,,,,,
2005,Maine,COBIA,,,,,
2006,Maine,COBIA,,,,,
2007,Maine,COBIA,,,,,
2008,Maine,COBIA,,,,,
2009,Maine,COBIA,,,,,
2010,Maine,COBIA,,,,,
2011,Maine,COBIA,,,,,
2012,Maine,COBIA,,,,,
2013,Maine,COBIA,,,,,
2014,Maine,COBIA,,,,,
2015,Maine,COBIA,,,,,
2016,Maine,COBIA,,,,,
2017,Maine,COBIA,,,,,
2018,Maine,COBIA,,,,,
2019,Maine,COBIA,,,,,
2020,Maine,COBIA,,,,,
2021,Maine,COBIA,,,,,
2022,Maine,COBIA,,,,,
1981,Maryland,COBIA,,,,,
1982,Maryland,COBIA,,,,,
1984,Maryland,COBIA,,,,,
1987,Maryland,COBIA,,,,,
1988,Maryland,COBIA,,,,,
1989,Maryland,COBIA,,,,,
1990,Maryland,COBIA,,,,,
1991,Maryland,COBIA,,,,,
1992,Maryland,COBIA,,,,,
1993,Maryland,COBIA,,,,,
1994,Maryland,COBIA,,,,,
1995,Maryland,COBIA,,,,,
1996,Maryland,COBIA,,,,,
1997,Maryland,COBIA,,,,,
1998,Maryland,COBIA,,,,,
1999,Maryland,COBIA,,,,,
2000,Maryland,COBIA,,,,,
2001,Maryland,COBIA,,,,,
2002,Maryland,COBIA,,,,,
2004,Maryland,COBIA,,,,,
2005,Maryland,COBIA,,,,,
2006,Maryland,COBIA,,,,,
2007,Maryland,COBIA,,,,,
2008,Maryland,COBIA,,,,,
2009,Maryland,COBIA,,,,,
2011,Maryland,COBIA,,,,,
2012,Maryland,COBIA,,,,,
2013,Maryland,COBIA,,,,,
2014,Maryland,COBIA,,,,,
2015,Maryland,COBIA,,,,,
2016,Maryland,COBIA,,,,,
2017,Maryland,COBIA,,,,,
2019,Maryland,COBIA,,,,,
2022,Maryland,COBIA,,,,,
1982,Massachusetts,COBIA,,,,,
1983,Massachusetts,COBIA,,,,,
1984,Massachusetts,COBIA,,,,,
1985,Massachusetts,COBIA,,,,,
1986,Massachusetts,COBIA,,,,,
1987,Massachusetts,COBIA,,,,,
1988,Massachusetts,COBIA,,,,,
1989,Massachusetts,COBIA,,,,,
1990,Massachusetts,COBIA,,,,,
1991,Massachusetts,COBIA,,,,,
1992,Massachusetts,COBIA,,,,,
1993,Massachusetts,COBIA,,,,,
1994,Massachusetts,COBIA,,,,,
1995,Massachusetts,COBIA,,,,,
1996,Massachusetts,COBIA,,,,,
1997,Massachusetts,COBIA,,,,,
1998,Massachusetts,COBIA,,,,,
1999,Massachusetts,COBIA,,,,,
2000,Massachusetts,COBIA,,,,,
2001,Massachusetts,COBIA,,,,,
2002,Massachusetts,COBIA,,,,,
2003,Massachusetts,COBIA,,,,,
2004,Massachusetts,COBIA,,,,,
2005,Massachusetts,COBIA,,,,,
2006,Massachusetts,COBIA,,,,,
2007,Massachusetts,COBIA,,,,,
2008,Massachusetts,COBIA,,,,,
2009,Massachusetts,COBIA,,,,,
2010,Massachusetts,COBIA,,,,,
2011,Massachusetts,COBIA,,,,,
2012,Massachusetts,COBIA,,,,,
2013,Massachusetts,COBIA,,,,,
2014,Massachusetts,COBIA,,,,,
2015,Massachusetts,COBIA,,,,,
2016,Massachusetts,COBIA,,,,,
2017,Massachusetts,COBIA,,,,,
2018,Massachusetts,COBIA,,,,,
2019,Massachusetts,COBIA,,,,,
2020,Massachusetts,COBIA,,,,,
2021,Massachusetts,COBIA,,,,,
2022,Massachusetts,COBIA,,,,,
1981,New Hampshire,COBIA,,,,,
1982,New Hampshire,COBIA,,,,,
1983,New Hampshire,COBIA,,,,,
1984,New Hampshire,COBIA,,,,,
1985,New Hampshire,COBIA,,,,,
1986,New Hampshire,COBIA,,,,,
1987,New Hampshire,COBIA,,,,,
1988,New Hampshire,COBIA,,,,,
1989,New Hampshire,COBIA,,,,,
1990,New Hampshire,COBIA,,,,,
1991,New Hampshire,COBIA,,,,,
1992,New Hampshire,COBIA,,,,,
1993,New Hampshire,COBIA,,,,,
1994,New Hampshire,COBIA,,,,,
1995,New Hampshire,COBIA,,,,,
1996,New Hampshire,COBIA,,,,,
1997,New Hampshire,COBIA,,,,,
1998,New Hampshire,COBIA,,,,,
1999,New Hampshire,COBIA,,,,,
2000,New Hampshire,COBIA,,,,,
2001,New Hampshire,COBIA,,,,,
2002,New Hampshire,COBIA,,,,,
2003,New Hampshire,COBIA,,,,,
2004,New Hampshire,COBIA,,,,,
2005,New Hampshire,COBIA,,,,,
2006,New Hampshire,COBIA,,,,,
2007,New Hampshire,COBIA,,,,,
2008,New Hampshire,COBIA,,,,,
2009,New Hampshire,COBIA,,,,,
2010,New Hampshire,COBIA,,,,,
2011,New Hampshire,COBIA,,,,,
2012,New Hampshire,COBIA,,,,,
2013,New Hampshire,COBIA,,,,,
2014,New Hampshire,COBIA,,,,,
2015,New Hampshire,COBIA,,,,,
2016,New Hampshire,COBIA,,,,,
2017,New Hampshire,COBIA,,,,,
2018,New Hampshire,COBIA,,,,,
2019,New Hampshire,COBIA,,,,,
2020,New Hampshire,COBIA,,,,,
2021,New Hampshire,COBIA,,,,,
2022,New Hampshire,COBIA,,,,,
1981,New Jersey,COBIA,,,,,
1982,New Jersey,COBIA,,,,,
1983,New Jersey,COBIA,,,,,
1984,New Jersey,COBIA,,,,,
1985,New Jersey,COBIA,,,,,
1987,New Jersey,COBIA,,,,,
1988,New Jersey,COBIA,,,,,
1989,New Jersey,COBIA,,,,,
1990,New Jersey,COBIA,,,,,
1991,New Jersey,COBIA,,,,,
1992,New Jersey,COBIA,,,,,
1993,New Jersey,COBIA,,,,,
1994,New Jersey,COBIA,,,,,
1995,New Jersey,COBIA,,,,,
1996,New Jersey,COBIA,,,,,
1997,New Jersey,COBIA,,,,,
1998,New Jersey,COBIA,,,,,
1999,New Jersey,COBIA,,,,,
2000,New Jersey,COBIA,,,,,
2001,New Jersey,COBIA,,,,,
2002,New Jersey,COBIA,,,,,
2003,New Jersey,COBIA,,,,,
2004,New Jersey,COBIA,,,,,
2005,New Jersey,COBIA,,,,,
2007,New Jersey,COBIA,,,,,
2009,New Jersey,COBIA,,,,,
2011,New Jersey,COBIA,,,,,
2013,New Jersey,COBIA,,,,,
2014,New Jersey,COBIA,,,,,
2015,New Jersey,COBIA,,,,,
2016,New Jersey,COBIA,,,,,
2017,New Jersey,COBIA,,,,,
2018,New Jersey,COBIA,,,,,
2020,New Jersey,COBIA,,,,,
2022,New Jersey,COBIA,,,,,
1981,New York,COBIA,,,,,
1982,New York,COBIA,,,,,
1983,New York,COBIA,,,,,
1984,New York,COBIA,,,,,
1986,New York,COBIA,,,,,
1987,New York,COBIA,,,,,
1988,New York,COBIA,,,,,
1989,New York,COBIA,,,,,
1990,New York,COBIA,,,,,
1991,New York,COBIA,,,,,
1992,New York,COBIA,,,,,
1993,New York,COBIA,,,,,
1994,New York,COBIA,,,,,
1995,New York,COBIA,,,,,
1996,New York,COBIA,,,,,
1997,New York,COBIA,,,,,
1998,New York,COBIA,,,,,
1999,New York,COBIA,,,,,
2000,New York,COBIA,,,,,
2001,New York,COBIA,,,,,
2002,New York,COBIA,,,,,
2003,New York,COBIA,,,,,
2004,New York,COBIA,,,,,
2005,New York,COBIA,,,,,
2006,New York,COBIA,,,,,
2007,New York,COBIA,,,,,
2008,New York,COBIA,,,,,
2009,New York,COBIA,,,,,
2010,New York,COBIA,,,,,
2011,New York,COBIA,,,,,
2012,New York,COBIA,,,,,
2013,New York,COBIA,,,,,
2014,New York,COBIA,,,,,
2015,New York,COBIA,,,,,
2016,New York,COBIA,,,,,
2017,New York,COBIA,,,,,
2018,New York,COBIA,,,,,
2019,New York,COBIA,,,,,
2021,New York,COBIA,,,,,
1982,North Carolina,COBIA,,,,,
1981,Rhode Island,COBIA,,,,,
1982,Rhode Island,COBIA,,,,,
1983,Rhode Island,COBIA,,,,,
1984,Rhode Island,COBIA,,,,,
1985,Rhode Island,COBIA,,,,,
1986,Rhode Island,COBIA,,,,,
1987,Rhode Island,COBIA,,,,,
1988,Rhode Island,COBIA,,,,,
1989,Rhode Island,COBIA,,,,,
1990,Rhode Island,COBIA,,,,,
1991,Rhode Island,COBIA,,,,,
1992,Rhode Island,COBIA,,,,,
1993,Rhode Island,COBIA,,,,,
1994,Rhode Island,COBIA,,,,,
1995,Rhode Island,COBIA,,,,,
1996,Rhode Island,COBIA,,,,,
1997,Rhode Island,COBIA,,,,,
1998,Rhode Island,COBIA,,,,,
1999,Rhode Island,COBIA,,,,,
2000,Rhode Island,COBIA,,,,,
2001,Rhode Island,COBIA,,,,,
2002,Rhode Island,COBIA,,,,,
2003,Rhode Island,COBIA,,,,,
2004,Rhode Island,COBIA,,,,,
2005,Rhode Island,COBIA,,,,,
2006,Rhode Island,COBIA,,,,,
2007,Rhode Island,COBIA,,,,,
2008,Rhode Island,COBIA,,,,,
2009,Rhode Island,COBIA,,,,,
2010,Rhode Island,COBIA,,,,,
2011,Rhode Island,COBIA,,,,,
2012,Rhode Island,COBIA,,,,,
2013,Rhode Island,COBIA,,,,,
2014,Rhode Island,COBIA,,,,,
2015,Rhode Island,COBIA,,,,,
2016,Rhode Island,COBIA,,,,,
2017,Rhode Island,COBIA,,,,,
2018,Rhode Island,COBIA,,,,,
2019,Rhode Island,COBIA,,,,,
2020,Rhode Island,COBIA,,,,,
2021,Rhode Island,COBIA,,,,,
2022,Rhode Island,COBIA,,,,,
1981,South Carolina,COBIA,,,,,
1982,South Carolina,COBIA,,,,,
1983,South Carolina,COBIA,,,,,
1993,South Carolina,COBIA,,,,,
1999,South Carolina,COBIA,,,,,
2001,South Carolina,COBIA,,,,,
2003,South Carolina,COBIA,,,,,
1982,Virginia,COBIA,,,,,
1983,Virginia,COBIA,,,,,
1984,Virginia,COBIA,,,,,
